mean_t-Unconstrained	2.5%q-Unconstrained	97.5%q-Unconstrained	mean_t-UpperEdiacaran	2.5%q-UpperEdiacaran	97.5%q-UpperEdiacaran
tn55|METAZOA	688.134	658.12	744.88	579.442	578.01	579.99
tn56	565.644	454.73	675.3	535.991	491.53	555.9
tn57	668.105	651.84	692.02	578.817	576.86	579.85
tn58|EUMETAZOA	642.603	632.13	659.31	571.732	569.64	573.58
tn59|CNIDARIA	615.11	596.88	631.98	562.883	558.13	566.43
tn60	543.379	480.15	584.43	540.237	514.02	552.57
tn61	432.056	309.63	522.17	500.568	409.11	535.78
tn62	397.268	190.66	508.92	465.716	309.64	526.63
tn63|BILATERIA	610.537	600.09	623.83	560.695	558.92	562.93
tn64|DEUTEROSTOMIA	602.059	591.61	614.78	557.053	555.08	559.56
tn65|OLFACTORES	590.975	579.63	603.61	551.871	548.79	555.17
tn66|EUARTHROPODA	573.139	558.55	586.71	542.5	535.73	548.34
tn67	407.095	262.41	488.2	437.687	315.77	506.42
tn68|VERTEBRATA	510.569	487.85	530.29	498.288	479.99	516.59
tn69|GNATHOSTOMATA	453.277	441.49	466.81	451.687	438.71	467.08
tn70|OSTEICHTHYES	424.787	420.78	435.04	427.238	420.86	442.19
tn71|TETRAPODA	350.56	347.94	352.4	349.642	345.23	351.85
tn72|AMNIOTA	319.055	318.01	321.78	319.953	318.04	324.66
tn73|MAMMALIA	190.993	168.86	202.5	188.096	166.85	202.14
tn74|EUARCHONTOGLIRES	90.998	64.51	122.94	95.695	64.12	135.24
tn75|CYCLOSTOMATA	447.452	393.3	485.85	451.4	392.64	490.53
tn76|XENAMBULACRARIA	594.19	583.27	606.71	553.409	550.76	556.45
tn77|AMBULACRARIA	574.597	561.98	587.13	544.086	538.95	549.06
tn78	507.947	458.68	536.93	515.01	489.3	530.51
tn79	476.439	411.99	516.67	501.471	458.15	523.01
tn80|HEMICHORDATA	513.29	504.66	531.27	513.297	504.74	526.84
tn81	569.861	549.67	585.04	541.87	531.26	548.23
tn82|PROTOSTOMIA	590.94	581.99	601.48	553.869	552.78	556.02
tn83	585.74	577.2	595.59	551.962	550.57	554.17
tn84	579.306	571.35	588.2	549.566	547.97	551.78
tn85|ANNELIDS-MOLLUSCS	565.556	558.83	572.61	544.239	542.27	546.54
tn86|CAPITELLID-POLYCHETE-LEECH	531.509	513.8	544.6	531.464	522.66	536.61
tn87	518.016	494.71	534.66	526.455	514.63	533.25
tn88	488.974	445.29	516.32	515.432	493.63	527.2
tn89	438.005	346.04	492.92	494.778	427.36	518.26
tn90|MOLLUSCA	545.633	541.41	549.1	536.477	534.67	538.86
tn91|BIVALVE-GASTROPOD	531.82	530.04	535.89	531.097	530.01	533.69
tn92|GASTROPODA	490.84	473.5	509.52	516.57	503.84	523.69
tn93	472.218	418.95	502.44	511.314	493.79	520.38
tn94	488.917	420.81	527.54	512.579	481.53	530.19
tn95	268.64	76.69	434.46	370.258	93.19	501.96
tn96|ECDYSOZOA	577.809	569.89	586.81	549.076	547.17	551.39
tn97|NEMATODA-ARTHROPODA	568.137	560.87	576.29	545.437	542.96	547.98
tn98|LOBOPODIA	555.213	549.29	562.01	540.3	537.21	543.12
tn99|CHORDATA	538.069	535.03	541.63	532.398	529.06	535.18
tn100|MANDIBULATA	531.374	529.48	533.56	528.907	525.62	531.52
tn101|PANCRUSTACEA	514.876	514.01	516.81	516.03	514.05	519.99
tn102|COPEPODA-BRANCHIOPODA	500.973	499.05	504.42	504.613	499.51	511.03
tn103	483.074	473.84	490.85	489.838	475.96	500.98
tn104	421.748	378.58	442.52	427.089	374.07	452.4
tn105|EUMETABOLA	392.295	337.36	416.06	394.842	330.86	418.13
tn106|PYCNOGONIDA-OTHER-CHELICERATES	510.002	499.02	518.69	516.472	506.46	523.4
tn107|ACARI-ARENACEA	465.006	424.87	489.39	489.835	452.06	509.24
